"","ctryname","cowcode2","politycode","un_region_name","un_continent_name","ehead","democracy","begindateleaderdem","enddateleaderdem","tenuredem","rightcensdem"
"1","Afghanistan",700,700,"Southern Asia","Asia","Mohammad Zahir Shah","Non-democracy",1933,1952,20,1
"2","Afghanistan",700,700,"Southern Asia","Asia","Sardar Mohammad Daoud","Non-democracy",1953,1962,10,1
"3","Afghanistan",700,700,"Southern Asia","Asia","Mohammad Zahir Shah","Non-democracy",1963,1972,10,1
"4","Afghanistan",700,700,"Southern Asia","Asia","Sardar Mohammad Daoud","Non-democracy",1973,1977,5,0
"5","Afghanistan",700,700,"Southern Asia","Asia","Nur Mohammad Taraki","Non-democracy",1978,1978,1,0
"6","Afghanistan",700,700,"Southern Asia","Asia","Babrak Karmal","Non-democracy",1979,1984,6,1
"7","Afghanistan",700,700,"Southern Asia","Asia","Mohammed Najibullah","Non-democracy",1985,1991,7,1
"8","Afghanistan",700,700,"Southern Asia","Asia","Burhanuddin Rabbani","Non-democracy",1992,1995,4,1
"9","Afghanistan",700,700,"Southern Asia","Asia","Mullah Mohammad Rabbani","Non-democracy",1996,2000,5,0
"10","Afghanistan",700,700,"Southern Asia","Asia","Hamid Karzai","Non-democracy",2001,2008,8,0
"11","Albania",339,339,"Southern Europe","Europe","Enver Hoxha","Non-democracy",1944,1984,41,0
"12","Albania",339,339,"Southern Europe","Europe","Ramiz Alia","Non-democracy",1985,1990,6,1
"13","Albania",339,339,"Southern Europe","Europe","Ramiz Alia","Democracy",1991,1991,1,1
"14","Albania",339,339,"Southern Europe","Europe","Aleksander Meksi","Democracy",1992,1996,5,1
"15","Albania",339,339,"Southern Europe","Europe","Fatos Nano","Democracy",1997,1997,1,1
"16","Albania",339,339,"Southern Europe","Europe","Pandeli Majko","Democracy",1998,1998,1,1
"17","Albania",339,339,"Southern Europe","Europe","Ilir Meta","Democracy",1999,2001,3,1
"18","Albania",339,339,"Southern Europe","Europe","Fatos Nano","Democracy",2002,2004,3,1
"19","Albania",339,339,"Southern Europe","Europe","Sali Berisha","Democracy",2005,2008,4,0
"20","Algeria",615,615,"Northern Africa","Africa","Ahmed Ben Bella","Non-democracy",1962,1964,3,1
"21","Algeria",615,615,"Northern Africa","Africa","Houari Boumedienne","Non-democracy",1965,1977,13,0
"22","Algeria",615,615,"Northern Africa","Africa","military","Non-democracy",1978,1978,1,1
"23","Algeria",615,615,"Northern Africa","Africa","Benjedid Chadli","Non-democracy",1979,1991,13,1
"24","Algeria",615,615,"Northern Africa","Africa","military High Security Council","Non-democracy",1992,1993,2,1
"25","Algeria",615,615,"Northern Africa","Africa","Liamine Zeroual","Non-democracy",1994,1998,5,1
"26","Algeria",615,615,"Northern Africa","Africa","Abdelaziz Bouteflika","Non-democracy",1999,2008,10,0
"27","Andorra",232,232,"Southern Europe","Europe","Oscar Ribas Reig","Democracy",1990,1993,4,1
"28","Andorra",232,232,"Southern Europe","Europe","Marc Forne Molne","Democracy",1994,2004,11,1
"29","Andorra",232,232,"Southern Europe","Europe","Albert Pintat Santolï¿½ria","Democracy",2005,2008,4,0
"30","Angola",540,540,"Middle Africa","Africa","Agostinho Neto","Non-democracy",1975,1978,4,0
"31","Angola",540,540,"Middle Africa","Africa","Jose Eduardo dos Santos","Non-democracy",1979,2008,30,0
"32","Antigua & Barbuda",58,58,"Caribbean","Americas","Vere Cornwall Bird","Democracy",1978,1993,16,1
"33","Antigua & Barbuda",58,58,"Caribbean","Americas","Lester Bird","Democracy",1994,2003,10,1
"34","Antigua & Barbuda",58,58,"Caribbean","Americas","Baldwin Spencer","Democracy",2004,2008,5,0
"35","Argentina",160,160,"South America","Americas","Juan Peron","Democracy",1946,1954,9,1
"36","Argentina",160,160,"South America","Americas","Pedro Eugenio Aramburu Cilveti","Non-democracy",1955,1957,3,1
"37","Argentina",160,160,"South America","Americas","Arturo Frondizi","Democracy",1958,1961,4,1
"38","Argentina",160,160,"South America","Americas","Military","Non-democracy",1962,1962,1,1
"39","Argentina",160,160,"South America","Americas","Arturo Umberto Illia","Democracy",1963,1965,3,1
"40","Argentina",160,160,"South America","Americas","Juan Carlos Ongania","Non-democracy",1966,1969,4,1
"41","Argentina",160,160,"South America","Americas","Roberto Marcelo Levingston","Non-democracy",1970,1970,1,1
"42","Argentina",160,160,"South America","Americas","Alejandro Agustan Lanusse","Non-democracy",1971,1972,2,1
"43","Argentina",160,160,"South America","Americas","Juan Peron","Democracy",1973,1973,1,0
"44","Argentina",160,160,"South America","Americas","Isabel Peron","Democracy",1974,1975,2,1
"45","Argentina",160,160,"South America","Americas","Jorge Rafael Videla","Non-democracy",1976,1980,5,1
"46","Argentina",160,160,"South America","Americas","Leopoldo Galtieri","Non-democracy",1981,1981,1,1
"47","Argentina",160,160,"South America","Americas","Reynaldo Bignone","Non-democracy",1982,1982,1,1
"48","Argentina",160,160,"South America","Americas","Raul Alfonsin","Democracy",1983,1988,6,1
"49","Argentina",160,160,"South America","Americas","Carlos Menem","Democracy",1989,1998,10,1
"50","Argentina",160,160,"South America","Americas","Fernando de la Rua","Democracy",1999,2000,2,1
"51","Argentina",160,160,"South America","Americas","Eduardo Oscar Camano","Democracy",2001,2001,1,1
"52","Argentina",160,160,"South America","Americas","Eduardo Alberto Duhalde Maldonado","Democracy",2002,2004,3,1
"53","Argentina",160,160,"South America","Americas","Nï¿½stor Carlos Kirchner Ostoic","Democracy",2005,2006,2,1
"54","Argentina",160,160,"South America","Americas","Cristina Fernï¿½ndez de Kirchner","Democracy",2007,2008,2,0
"55","Armenia",371,371,"Western Asia","Asia","Levon Ter-Petrosyan","Democracy",1991,1994,4,1
"56","Armenia",371,371,"Western Asia","Asia","Hrant Bagratyan","Democracy",1995,1995,1,1
"57","Armenia",371,371,"Western Asia","Asia","Armen Sarkisyan","Democracy",1996,1996,1,1
"58","Armenia",371,371,"Western Asia","Asia","Robert Kocharyan","Democracy",1997,1997,1,1
"59","Armenia",371,371,"Western Asia","Asia","Armen Darbinyan","Democracy",1998,1998,1,1
"60","Armenia",371,371,"Western Asia","Asia","Aram Sargsyan","Democracy",1999,1999,1,1
"61","Armenia",371,371,"Western Asia","Asia","Andranik Margaryan","Democracy",2000,2006,7,0
"62","Armenia",371,371,"Western Asia","Asia","Serzh Sargsyan","Democracy",2007,2007,1,1
"63","Armenia",371,371,"Western Asia","Asia","Tigran Sargsyan","Democracy",2008,2008,1,0
"64","Australia",900,900,"Australia and New Zealand","Oceania","Joseph Chifley","Democracy",1945,1948,4,1
