"","ctryname","cowcode2","politycode","un_region_name","un_continent_name","ehead","democracy","leaderspelldem","begindateleaderdem","enddateleaderdem","tenuredem","rightcensdem","coldwar"
"1","Afghanistan",700,700,"Southern Asia","Asia","Mohammad Zahir Shah","Non-democracy","Mohammad Zahir Shah.Afghanistan.1946.1952.Non-democracy",1933,1945,13,1,FALSE
"2","Afghanistan",700,700,"Southern Asia","Asia","Mohammad Zahir Shah","Non-democracy","Mohammad Zahir Shah.Afghanistan.1946.1952.Non-democracy",1946,1952,7,1,TRUE
"3","Afghanistan",700,700,"Southern Asia","Asia","Sardar Mohammad Daoud","Non-democracy","Sardar Mohammad Daoud.Afghanistan.1953.1962.Non-democracy",1953,1962,10,1,TRUE
"4","Afghanistan",700,700,"Southern Asia","Asia","Mohammad Zahir Shah","Non-democracy","Mohammad Zahir Shah.Afghanistan.1963.1972.Non-democracy",1963,1972,10,1,TRUE
"5","Afghanistan",700,700,"Southern Asia","Asia","Sardar Mohammad Daoud","Non-democracy","Sardar Mohammad Daoud.Afghanistan.1973.1977.Non-democracy",1973,1977,5,0,TRUE
"6","Afghanistan",700,700,"Southern Asia","Asia","Nur Mohammad Taraki","Non-democracy","Nur Mohammad Taraki.Afghanistan.1978.1978.Non-democracy",1978,1978,1,0,TRUE
"7","Afghanistan",700,700,"Southern Asia","Asia","Babrak Karmal","Non-democracy","Babrak Karmal.Afghanistan.1979.1984.Non-democracy",1979,1984,6,1,TRUE
"8","Afghanistan",700,700,"Southern Asia","Asia","Mohammed Najibullah","Non-democracy","Mohammed Najibullah.Afghanistan.1985.1991.Non-democracy",1985,1989,5,1,TRUE
"9","Afghanistan",700,700,"Southern Asia","Asia","Mohammed Najibullah","Non-democracy","Mohammed Najibullah.Afghanistan.1985.1991.Non-democracy",1990,1991,2,1,FALSE
"10","Afghanistan",700,700,"Southern Asia","Asia","Burhanuddin Rabbani","Non-democracy","Burhanuddin Rabbani.Afghanistan.1992.1995.Non-democracy",1992,1995,4,1,FALSE
"11","Afghanistan",700,700,"Southern Asia","Asia","Mullah Mohammad Rabbani","Non-democracy","Mullah Mohammad Rabbani.Afghanistan.1996.2000.Non-democracy",1996,2000,5,0,FALSE
"12","Afghanistan",700,700,"Southern Asia","Asia","Hamid Karzai","Non-democracy","Hamid Karzai.Afghanistan.2001.2008.Non-democracy",2001,2008,8,0,FALSE
"13","Albania",339,339,"Southern Europe","Europe","Enver Hoxha","Non-democracy","Enver Hoxha.Albania.1946.1984.Non-democracy",1944,1945,2,0,FALSE
"14","Albania",339,339,"Southern Europe","Europe","Enver Hoxha","Non-democracy","Enver Hoxha.Albania.1946.1984.Non-democracy",1946,1984,39,0,TRUE
"15","Albania",339,339,"Southern Europe","Europe","Ramiz Alia","Non-democracy","Ramiz Alia.Albania.1985.1990.Non-democracy",1985,1989,5,1,TRUE
"16","Albania",339,339,"Southern Europe","Europe","Ramiz Alia","Non-democracy","Ramiz Alia.Albania.1985.1990.Non-democracy",1990,1990,1,1,FALSE
"17","Albania",339,339,"Southern Europe","Europe","Ramiz Alia","Democracy","Ramiz Alia.Albania.1991.1991.Democracy",1991,1991,1,1,FALSE
"18","Albania",339,339,"Southern Europe","Europe","Aleksander Meksi","Democracy","Aleksander Meksi.Albania.1992.1996.Democracy",1992,1996,5,1,FALSE
"19","Albania",339,339,"Southern Europe","Europe","Fatos Nano","Democracy","Fatos Nano.Albania.1997.1997.Democracy",1997,1997,1,1,FALSE
"20","Albania",339,339,"Southern Europe","Europe","Pandeli Majko","Democracy","Pandeli Majko.Albania.1998.1998.Democracy",1998,1998,1,1,FALSE
"21","Albania",339,339,"Southern Europe","Europe","Ilir Meta","Democracy","Ilir Meta.Albania.1999.2001.Democracy",1999,2001,3,1,FALSE
"22","Albania",339,339,"Southern Europe","Europe","Fatos Nano","Democracy","Fatos Nano.Albania.2002.2004.Democracy",2002,2004,3,1,FALSE
"23","Albania",339,339,"Southern Europe","Europe","Sali Berisha","Democracy","Sali Berisha.Albania.2005.2008.Democracy",2005,2008,4,0,FALSE
"24","Algeria",615,615,"Northern Africa","Africa","Ahmed Ben Bella","Non-democracy","Ahmed Ben Bella.Algeria.1962.1964.Non-democracy",1962,1964,3,1,TRUE
"25","Algeria",615,615,"Northern Africa","Africa","Houari Boumedienne","Non-democracy","Houari Boumedienne.Algeria.1965.1977.Non-democracy",1965,1977,13,0,TRUE
"26","Algeria",615,615,"Northern Africa","Africa","military","Non-democracy","military.Algeria.1978.1978.Non-democracy",1978,1978,1,1,TRUE
"27","Algeria",615,615,"Northern Africa","Africa","Benjedid Chadli","Non-democracy","Benjedid Chadli.Algeria.1979.1991.Non-democracy",1979,1989,11,1,TRUE
"28","Algeria",615,615,"Northern Africa","Africa","Benjedid Chadli","Non-democracy","Benjedid Chadli.Algeria.1979.1991.Non-democracy",1990,1991,2,1,FALSE
"29","Algeria",615,615,"Northern Africa","Africa","military High Security Council","Non-democracy","military High Security Council.Algeria.1992.1993.Non-democracy",1992,1993,2,1,FALSE
"30","Algeria",615,615,"Northern Africa","Africa","Liamine Zeroual","Non-democracy","Liamine Zeroual.Algeria.1994.1998.Non-democracy",1994,1998,5,1,FALSE
"31","Algeria",615,615,"Northern Africa","Africa","Abdelaziz Bouteflika","Non-democracy","Abdelaziz Bouteflika.Algeria.1999.2008.Non-democracy",1999,2008,10,0,FALSE
"32","Andorra",232,232,"Southern Europe","Europe","Oscar Ribas Reig","Democracy","Oscar Ribas Reig.Andorra.1993.1993.Democracy",1990,1993,4,1,FALSE
"33","Andorra",232,232,"Southern Europe","Europe","Marc Forne Molne","Democracy","Marc Forne Molne.Andorra.1994.2004.Democracy",1994,2004,11,1,FALSE
"34","Andorra",232,232,"Southern Europe","Europe","Albert Pintat Santolï¿½ria","Democracy","Albert Pintat Santolï¿½ria.Andorra.2005.2008.Democracy",2005,2008,4,0,FALSE
"35","Angola",540,540,"Middle Africa","Africa","Agostinho Neto","Non-democracy","Agostinho Neto.Angola.1975.1978.Non-democracy",1975,1978,4,0,TRUE
"36","Angola",540,540,"Middle Africa","Africa","Jose Eduardo dos Santos","Non-democracy","Jose Eduardo dos Santos.Angola.1979.2008.Non-democracy",1979,1989,11,0,TRUE
"37","Angola",540,540,"Middle Africa","Africa","Jose Eduardo dos Santos","Non-democracy","Jose Eduardo dos Santos.Angola.1979.2008.Non-democracy",1990,2008,19,0,FALSE
"38","Antigua & Barbuda",58,58,"Caribbean","Americas","Vere Cornwall Bird","Democracy","Vere Cornwall Bird.Antigua & Barbuda.1981.1993.Democracy",1978,1989,12,1,TRUE
"39","Antigua & Barbuda",58,58,"Caribbean","Americas","Vere Cornwall Bird","Democracy","Vere Cornwall Bird.Antigua & Barbuda.1981.1993.Democracy",1990,1993,4,1,FALSE
"40","Antigua & Barbuda",58,58,"Caribbean","Americas","Lester Bird","Democracy","Lester Bird.Antigua & Barbuda.1994.2003.Democracy",1994,2003,10,1,FALSE
"41","Antigua & Barbuda",58,58,"Caribbean","Americas","Baldwin Spencer","Democracy","Baldwin Spencer.Antigua & Barbuda.2004.2008.Democracy",2004,2008,5,0,FALSE
"42","Argentina",160,160,"South America","Americas","Juan Peron","Democracy","Juan Peron.Argentina.1946.1954.Democracy",1946,1954,9,1,TRUE
"43","Argentina",160,160,"South America","Americas","Pedro Eugenio Aramburu Cilveti","Non-democracy","Pedro Eugenio Aramburu Cilveti.Argentina.1955.1957.Non-democracy",1955,1957,3,1,TRUE
"44","Argentina",160,160,"South America","Americas","Arturo Frondizi","Democracy","Arturo Frondizi.Argentina.1958.1961.Democracy",1958,1961,4,1,TRUE
"45","Argentina",160,160,"South America","Americas","Military","Non-democracy","Military.Argentina.1962.1962.Non-democracy",1962,1962,1,1,TRUE
"46","Argentina",160,160,"South America","Americas","Arturo Umberto Illia","Democracy","Arturo Umberto Illia.Argentina.1963.1965.Democracy",1963,1965,3,1,TRUE
"47","Argentina",160,160,"South America","Americas","Juan Carlos Ongania","Non-democracy","Juan Carlos Ongania.Argentina.1966.1969.Non-democracy",1966,1969,4,1,TRUE
"48","Argentina",160,160,"South America","Americas","Roberto Marcelo Levingston","Non-democracy","Roberto Marcelo Levingston.Argentina.1970.1970.Non-democracy",1970,1970,1,1,TRUE
"49","Argentina",160,160,"South America","Americas","Alejandro Agustan Lanusse","Non-democracy","Alejandro Agustan Lanusse.Argentina.1971.1972.Non-democracy",1971,1972,2,1,TRUE
"50","Argentina",160,160,"South America","Americas","Juan Peron","Democracy","Juan Peron.Argentina.1973.1973.Democracy",1973,1973,1,0,TRUE
"51","Argentina",160,160,"South America","Americas","Isabel Peron","Democracy","Isabel Peron.Argentina.1974.1975.Democracy",1974,1975,2,1,TRUE
"52","Argentina",160,160,"South America","Americas","Jorge Rafael Videla","Non-democracy","Jorge Rafael Videla.Argentina.1976.1980.Non-democracy",1976,1980,5,1,TRUE
"53","Argentina",160,160,"South America","Americas","Leopoldo Galtieri","Non-democracy","Leopoldo Galtieri.Argentina.1981.1981.Non-democracy",1981,1981,1,1,TRUE
"54","Argentina",160,160,"South America","Americas","Reynaldo Bignone","Non-democracy","Reynaldo Bignone.Argentina.1982.1982.Non-democracy",1982,1982,1,1,TRUE
"55","Argentina",160,160,"South America","Americas","Raul Alfonsin","Democracy","Raul Alfonsin.Argentina.1983.1988.Democracy",1983,1988,6,1,TRUE
"56","Argentina",160,160,"South America","Americas","Carlos Menem","Democracy","Carlos Menem.Argentina.1989.1998.Democracy",1989,1998,10,1,FALSE
"57","Argentina",160,160,"South America","Americas","Fernando de la Rua","Democracy","Fernando de la Rua.Argentina.1999.2000.Democracy",1999,2000,2,1,FALSE
"58","Argentina",160,160,"South America","Americas","Eduardo Oscar Camano","Democracy","Eduardo Oscar Camano.Argentina.2001.2001.Democracy",2001,2001,1,1,FALSE
"59","Argentina",160,160,"South America","Americas","Eduardo Alberto Duhalde Maldonado","Democracy","Eduardo Alberto Duhalde Maldonado.Argentina.2002.2004.Democracy",2002,2004,3,1,FALSE
"60","Argentina",160,160,"South America","Americas","Nï¿½stor Carlos Kirchner Ostoic","Democracy","Nï¿½stor Carlos Kirchner Ostoic.Argentina.2005.2006.Democracy",2005,2006,2,1,FALSE
"61","Argentina",160,160,"South America","Americas","Cristina Fernï¿½ndez de Kirchner","Democracy","Cristina Fernï¿½ndez de Kirchner.Argentina.2007.2008.Democracy",2007,2008,2,0,FALSE
"62","Armenia",371,371,"Western Asia","Asia","Levon Ter-Petrosyan","Democracy","Levon Ter-Petrosyan.Armenia.1991.1994.Democracy",1991,1994,4,1,FALSE
"63","Armenia",371,371,"Western Asia","Asia","Hrant Bagratyan","Democracy","Hrant Bagratyan.Armenia.1995.1995.Democracy",1995,1995,1,1,FALSE
"64","Armenia",371,371,"Western Asia","Asia","Armen Sarkisyan","Democracy","Armen Sarkisyan.Armenia.1996.1996.Democracy",1996,1996,1,1,FALSE
"65","Armenia",371,371,"Western Asia","Asia","Robert Kocharyan","Democracy","Robert Kocharyan.Armenia.1997.1997.Democracy",1997,1997,1,1,FALSE
"66","Armenia",371,371,"Western Asia","Asia","Armen Darbinyan","Democracy","Armen Darbinyan.Armenia.1998.1998.Democracy",1998,1998,1,1,FALSE
"67","Armenia",371,371,"Western Asia","Asia","Aram Sargsyan","Democracy","Aram Sargsyan.Armenia.1999.1999.Democracy",1999,1999,1,1,FALSE
"68","Armenia",371,371,"Western Asia","Asia","Andranik Margaryan","Democracy","Andranik Margaryan.Armenia.2000.2006.Democracy",2000,2006,7,0,FALSE
"69","Armenia",371,371,"Western Asia","Asia","Serzh Sargsyan","Democracy","Serzh Sargsyan.Armenia.2007.2007.Democracy",2007,2007,1,1,FALSE
"70","Armenia",371,371,"Western Asia","Asia","Tigran Sargsyan","Democracy","Tigran Sargsyan.Armenia.2008.2008.Democracy",2008,2008,1,0,FALSE
"71","Australia",900,900,"Australia and New Zealand","Oceania","Joseph Chifley","Democracy","Joseph Chifley.Australia.1946.1948.Democracy",1945,1945,1,1,FALSE
"72","Australia",900,900,"Australia and New Zealand","Oceania","Joseph Chifley","Democracy","Joseph Chifley.Australia.1946.1948.Democracy",1946,1948,3,1,TRUE
"73","Australia",900,900,"Australia and New Zealand","Oceania","Robert Menzies","Democracy","Robert Menzies.Australia.1949.1965.Democracy",1949,1965,17,1,TRUE
"74","Australia",900,900,"Australia and New Zealand","Oceania","Harold Holt","Democracy","Harold Holt.Australia.1966.1966.Democracy",1966,1966,1,0,TRUE
"75","Australia",900,900,"Australia and New Zealand","Oceania","John McEwan","Democracy","John McEwan.Australia.1967.1967.Democracy",1967,1967,1,1,TRUE
"76","Australia",900,900,"Australia and New Zealand","Oceania","John Gorton","Democracy","John Gorton.Australia.1968.1970.Democracy",1968,1970,3,1,TRUE
"77","Australia",900,900,"Australia and New Zealand","Oceania","William McMahon","Democracy","William McMahon.Australia.1971.1971.Democracy",1971,1971,1,1,TRUE
"78","Australia",900,900,"Australia and New Zealand","Oceania","E. Gough Whitlam","Democracy","E. Gough Whitlam.Australia.1972.1974.Democracy",1972,1974,3,1,TRUE
"79","Australia",900,900,"Australia and New Zealand","Oceania","Malcom Fraser","Democracy","Malcom Fraser.Australia.1975.1982.Democracy",1975,1982,8,1,TRUE
"80","Australia",900,900,"Australia and New Zealand","Oceania","Robert Hawke","Democracy","Robert Hawke.Australia.1983.1990.Democracy",1983,1989,7,1,TRUE
"81","Australia",900,900,"Australia and New Zealand","Oceania","Robert Hawke","Democracy","Robert Hawke.Australia.1983.1990.Democracy",1990,1990,1,1,FALSE
"82","Australia",900,900,"Australia and New Zealand","Oceania","Paul Keating","Democracy","Paul Keating.Australia.1991.1995.Democracy",1991,1995,5,1,FALSE
"83","Australia",900,900,"Australia and New Zealand","Oceania","John Howard","Democracy","John Howard.Australia.1996.2006.Democracy",1996,2006,11,1,FALSE
"84","Australia",900,900,"Australia and New Zealand","Oceania","Kevin Michael Rudd","Democracy","Kevin Michael Rudd.Australia.2007.2008.Democracy",2007,2008,2,0,FALSE
"85","Austria",305,305,"Western Europe","Europe","Leopold Figl","Democracy","Leopold Figl.Austria.1946.1952.Democracy",1945,1945,1,1,FALSE
"86","Austria",305,305,"Western Europe","Europe","Leopold Figl","Democracy","Leopold Figl.Austria.1946.1952.Democracy",1946,1952,7,1,TRUE
"87","Austria",305,305,"Western Europe","Europe","Julius Raab","Democracy","Julius Raab.Austria.1953.1960.Democracy",1953,1960,8,1,TRUE
"88","Austria",305,305,"Western Europe","Europe","Alfons Gorbach","Democracy","Alfons Gorbach.Austria.1961.1963.Democracy",1961,1963,3,1,TRUE
"89","Austria",305,305,"Western Europe","Europe","Josef Klaus","Democracy","Josef Klaus.Austria.1964.1969.Democracy",1964,1969,6,1,TRUE
"90","Austria",305,305,"Western Europe","Europe","Bruno Kreisky","Democracy","Bruno Kreisky.Austria.1970.1982.Democracy",1970,1982,13,1,TRUE
"91","Austria",305,305,"Western Europe","Europe","Alfred Sinowatz","Democracy","Alfred Sinowatz.Austria.1983.1985.Democracy",1983,1985,3,1,TRUE
"92","Austria",305,305,"Western Europe","Europe","Franz Vranitzky","Democracy","Franz Vranitzky.Austria.1986.1996.Democracy",1986,1989,4,1,TRUE
"93","Austria",305,305,"Western Europe","Europe","Franz Vranitzky","Democracy","Franz Vranitzky.Austria.1986.1996.Democracy",1990,1996,7,1,FALSE
"94","Austria",305,305,"Western Europe","Europe","Viktor Klima","Democracy","Viktor Klima.Austria.1997.1999.Democracy",1997,1999,3,1,FALSE
"95","Austria",305,305,"Western Europe","Europe","Wolfgang Schussel","Democracy","Wolfgang Schussel.Austria.2000.2006.Democracy",2000,2006,7,1,FALSE
