order,ctryname,cowcode,un_region_name,un_continent_name,ehead,democracy,regime,leaderspellreg,tenurereg,edatereg,rightcensreg
1,Afghanistan,700,Southern Asia,Asia,Mohammad Zahir Shah,Non-democracy,Monarchy,Mohammad Zahir Shah.Afghanistan.1946.Monarchy,7,1946,1
2,Afghanistan,700,Southern Asia,Asia,Sardar Mohammad Daoud,Non-democracy,Civilian Dict,Sardar Mohammad Daoud.Afghanistan.1953.Civilian Dict,10,1953,1
3,Afghanistan,700,Southern Asia,Asia,Mohammad Zahir Shah,Non-democracy,Monarchy,Mohammad Zahir Shah.Afghanistan.1963.Monarchy,10,1963,1
4,Afghanistan,700,Southern Asia,Asia,Sardar Mohammad Daoud,Non-democracy,Civilian Dict,Sardar Mohammad Daoud.Afghanistan.1973.Civilian Dict,5,1973,0
5,Afghanistan,700,Southern Asia,Asia,Nur Mohammad Taraki,Non-democracy,Civilian Dict,Nur Mohammad Taraki.Afghanistan.1978.Civilian Dict,1,1978,0
6,Afghanistan,700,Southern Asia,Asia,Babrak Karmal,Non-democracy,Civilian Dict,Babrak Karmal.Afghanistan.1979.Civilian Dict,6,1979,1
7,Afghanistan,700,Southern Asia,Asia,Mohammed Najibullah,Non-democracy,Civilian Dict,Mohammed Najibullah.Afghanistan.1985.Civilian Dict,7,1985,1
8,Afghanistan,700,Southern Asia,Asia,Burhanuddin Rabbani,Non-democracy,Civilian Dict,Burhanuddin Rabbani.Afghanistan.1992.Civilian Dict,4,1992,1
9,Afghanistan,700,Southern Asia,Asia,Mullah Mohammad Rabbani,Non-democracy,Civilian Dict,Mullah Mohammad Rabbani.Afghanistan.1996.Civilian Dict,5,1996,0
10,Afghanistan,700,Southern Asia,Asia,Hamid Karzai,Non-democracy,Civilian Dict,Hamid Karzai.Afghanistan.2001.Civilian Dict,8,2001,0
11,Albania,339,Southern Europe,Europe,Enver Hoxha,Non-democracy,Military Dict,Enver Hoxha.Albania.1946.Military Dict,39,1946,0
12,Albania,339,Southern Europe,Europe,Ramiz Alia,Non-democracy,Civilian Dict,Ramiz Alia.Albania.1985.Civilian Dict,6,1985,1
13,Albania,339,Southern Europe,Europe,Ramiz Alia,Democracy,Parliamentary Dem,Ramiz Alia.Albania.1991.Parliamentary Dem,1,1991,1
14,Albania,339,Southern Europe,Europe,Aleksander Meksi,Democracy,Parliamentary Dem,Aleksander Meksi.Albania.1992.Parliamentary Dem,5,1992,1
15,Albania,339,Southern Europe,Europe,Fatos Nano,Democracy,Parliamentary Dem,Fatos Nano.Albania.1997.Parliamentary Dem,1,1997,1
16,Albania,339,Southern Europe,Europe,Pandeli Majko,Democracy,Parliamentary Dem,Pandeli Majko.Albania.1998.Parliamentary Dem,1,1998,1
17,Albania,339,Southern Europe,Europe,Ilir Meta,Democracy,Parliamentary Dem,Ilir Meta.Albania.1999.Parliamentary Dem,3,1999,1
18,Albania,339,Southern Europe,Europe,Fatos Nano,Democracy,Parliamentary Dem,Fatos Nano.Albania.2002.Parliamentary Dem,3,2002,1
19,Albania,339,Southern Europe,Europe,Sali Berisha,Democracy,Parliamentary Dem,Sali Berisha.Albania.2005.Parliamentary Dem,4,2005,0
20,Algeria,615,Northern Africa,Africa,Ahmed Ben Bella,Non-democracy,Civilian Dict,Ahmed Ben Bella.Algeria.1962.Civilian Dict,3,1962,1
21,Algeria,615,Northern Africa,Africa,Houari Boumedienne,Non-democracy,Military Dict,Houari Boumedienne.Algeria.1965.Military Dict,13,1965,0
22,Algeria,615,Northern Africa,Africa,military,Non-democracy,Military Dict,military.Algeria.1978.Military Dict,1,1978,1
23,Algeria,615,Northern Africa,Africa,Benjedid Chadli,Non-democracy,Military Dict,Benjedid Chadli.Algeria.1979.Military Dict,13,1979,1
24,Algeria,615,Northern Africa,Africa,military High Security Council,Non-democracy,Military Dict,military High Security Council.Algeria.1992.Military Dict,2,1992,1
25,Algeria,615,Northern Africa,Africa,Liamine Zeroual,Non-democracy,Military Dict,Liamine Zeroual.Algeria.1994.Military Dict,5,1994,1
26,Algeria,615,Northern Africa,Africa,Abdelaziz Bouteflika,Non-democracy,Civilian Dict,Abdelaziz Bouteflika.Algeria.1999.Civilian Dict,10,1999,0
